ID,Product_Name,Brand,proteinPerServing,caloriesPerServing,carbsPerServing,fatsPerServing,sugarPerServing,fiberPerServing,pricePerServing,buyUrl,imageFileName,isWeightLoss,isHighProtein,isLowCarb,isKeto,isLowSugar,isGlutenFree,isVegan,isBars,isChips,isHalal
built-bar-salted-caramel,Built Bar Salted Caramel,Built Bar,15.0,130.0,18.0,3.0,4.0,6.0,4.9,https://www.amazon.com/Built-Bar-Pack-Protein-Energy/dp/B09M96KGNJ/ref=sr_1_4?tag=thehighprotei-20,built-bar-salted-caramel.jpg,TRUE,,,,,TRUE,,,,
built-bar-cookies-cream,Built Bar Cookies & Cream,Built Bar,17.0,140.0,18.0,2.0,7.0,6.0,2.9,https://www.amazon.com/Protein-Chocolatey-Collagen-Bar-calories/dp/B0D7PS26VG/ref=sr_1_11?tag=thehighprotei-20,built-bar-cookies-cream.jpg,,,,,,TRUE,,,,
kind-protein-bar-dark-chocolate-nut,KIND Protein Bar Dark Chocolate Nut,KIND,12.0,250.0,17.0,17.0,8.0,5.0,1.5,https://www.amazon.com/KIND-Protein-Double-Chocolate-Gluten/dp/B0777W3R15/ref=sr_1_2?tag=thehighprotei-20,kind-protein-bar-dark-chocolate-nut.jpg,,,,,,TRUE,,,,
kind-protein-bar-crunchy-peanut-butter,KIND Protein Bar Crunchy Peanut Butter,KIND,12.0,250.0,18.0,17.0,7.0,6.0,2.5,https://www.amazon.com/KIND-Protein-Crunchy-Peanut-Butter/dp/B077TZPVX6/ref=sr_1_6?tag=thehighprotei-20,kind-protein-bar-crunchy-peanut-butter.jpg,,,,,,TRUE,,TRUE,,
iqbar-peanut-butter-chip,IQBAR Peanut Butter Chip Bar,IQBAR,12.0,180.0,3.0,10.0,1.0,9.0,2.1,https://www.amazon.com/Protein-Peanut-Butter-Friendly-Alcohols/dp/B0876HZ2VX/ref=sr_1_1?tag=thehighprotei-20,iqbar-peanut-butter-chip.jpg,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,
iqbar-chocolate-sea-salt,IQBAR Chocolate Sea Salt Bar,IQBAR,12.0,170.0,2.0,12.0,1.0,8.0,2.1,https://www.amazon.com/Protein-Chocolate-Friendly-Gluten-Alcohols/dp/B0876LNH8Y/ref=sr_1_1?tag=thehighprotei-20,iqbar-chocolate-sea-salt.jpg,TRUE,,TRUE,TRUE,TRUE,,TRUE,,TRUE,
chomps-original-beef-stick,Chomps Original Grass-Fed Beef Stick,Chomps,10.0,100.0,0.0,7.0,0.0,0.0,2.5,https://www.amazon.com/Chomps-Grass-Fed-Finished-Original-10-Pack/dp/B07D3NS8NW/ref=sr_1_1?tag=thehighprotei-20,chomps-original-beef-stick.jpg,TRUE,,TRUE,TRUE,TRUE,,,,,TRUE
chomps-turkey-jalapeno-stick,Chomps Turkey Jalapeño Stick,Chomps,12.0,80.0,0.0,3.5,0.0,0.0,2.3,https://www.amazon.com/Antibiotic-Friendly-Whole30-Approved-Non-GMO/dp/B07LD164WL/ref=sr_1_1?tag=thehighprotei-20,chomps-turkey-jalapeno-stick.jpg,TRUE,,TRUE,TRUE,TRUE,,,,,TRUE
epic-bison-cranberry-bar,Epic Bison Cranberry Protein Bar,Epic Provisions,7.0,130.0,8.0,8.0,6.0,1.0,2.3,https://www.amazon.com/gp/aw/d/B00ET7LPK4/?tag=thehighprotei-20,epic-bison-cranberry-bar.jpg,,TRUE,,,,TRUE,,,,
whisps-parmesan-cheese-crisps,Whisps Parmesan Cheese Crisps,Whisps,13.0,160.0,1.0,12.0,0.0,0.0,11.5,https://www.amazon.com/Whisps-FAMILY-Parmesan-Cheddar-Protein/dp/B08LN3F13D/ref=sr_1_1?tag=thehighprotei-20,whisps-parmesan-cheese-crisps.jpg,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,
magic-spoon-peanut-butter-cereal,Magic Spoon Peanut Butter Cereal (per serving),Magic Spoon,14.0,170.0,10.0,9.0,0.0,1.0,10.5,https://www.amazon.com/Magic-Spoon-Cereal-Variety-6-Pack/dp/B0BX73JWBX/ref=sr_1_1?tag=thehighprotei-20,magic-spoon-peanut-butter-cereal.jpg,TRUE,,TRUE,,TRUE,,,,,
lenny-larry-complete-cookie-choc-chip,Lenny & Larry's Complete Cookie Chocolate Chip (full cookie),Lenny & Larry's,8.0,210.0,30.0,6.0,12.0,5.0,1.8,https://www.amazon.com/gp/aw/d/B004IJM4OY/?tag=thehighprotei-20,lenny-larry-complete-cookie-choc-chip.jpg,,,,,TRUE,,,TRUE,,
quest-ranch-protein-chips,Quest Protein Chips Ranch,Quest Nutrition,19.0,140.0,5.0,5.0,1.0,1.0,2.29,https://www.amazon.com/Quest-Nutrition-Tortilla-Style-Protein/dp/B07RQVPYT7/ref=sr_1_1?tag=thehighprotei-20,quest-ranch-protein-chips.jpg,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,
quest-choc-chunk-cookie,Quest Protein Cookie Chocolate Chip,Quest Nutrition,15.0,250.0,2.0,17.0,1.0,9.0,2.25,https://www.amazon.com/QUEST-NUTRITION-Chocolate-Protein-Cookie/dp/B07JMP7DYR/ref=sr_1_2?tag=thehighprotei-20,quest-choc-chunk-cookie.jpg,,TRUE,TRUE,TRUE,,,,TRUE,,
quest-peanut-butter-cookie,Quest Protein Cookie Peanut Butter,Quest Nutrition,5.0,210.0,5.0,13.0,1.0,11.0,2.25,https://www.amazon.com/NUTRITION-Peanut-Butter-Protein-Cookie/dp/B07JLQTN5P/ref=sr_1_1?tag=thehighprotei-20,quest-peanut-butter-cookie.jpg,,TRUE,TRUE,TRUE,,,,,,
rxbar-maple-sea-salt,RXBAR Maple Sea Salt,RXBAR,12.0,220.0,22.0,9.0,14.0,4.0,1.58,https://www.amazon.com/RXBAR-Protein-Best-Seller-Variety/dp/B089LB3SH7/ref=sr_1_4?tag=thehighprotei-20,rxbar-maple-sea-salt.jpg,,,,,,TRUE,,TRUE,,
rxbar-coconut-chocolate,RXBAR Coconut Chocolate,RXBAR,12.0,200.0,23.0,8.0,14.0,5.0,1.58,https://www.amazon.com/RXBAR-Protein-Coconut-Chocolate-1-83oz/dp/B0143NQVI4/ref=sr_1_1?tag=thehighprotei-20,rxbar-coconut-chocolate.jpg,,,,,,TRUE,,TRUE,,
rxbar-apple-cinnamon,RXBAR Apple Cinnamon,RXBAR,12.0,200.0,23.0,7.0,14.0,6.0,2.19,https://www.amazon.com/RXBAR-Honey-Cinnamon-Peanut-Butter/dp/B09KMWCX72/ref=sr_1_1?tag=thehighprotei-20,rxbar-apple-cinnamon.jpg,,,,,,TRUE,,TRUE,,
rxbar-peanut-butter,RXBAR Peanut Butter,RXBAR,12.0,190.0,24.0,7.0,17.0,4.0,1.9,https://www.amazon.com/RXBAR-Protein-Peanut-Butter-1-83oz/dp/B0143NQVP2/ref=sr_1_1?tag=thehighprotei-20,rxbar-peanut-butter.jpg,,,,,,TRUE,,TRUE,,
kind-protein-bar-dark-chocolate-cherry-cashew,KIND Protein Bar Dark Chocolate Cherry Cashew,KIND,4.0,170.0,22.0,10.0,10.0,6.0,1.25,https://www.amazon.com/KIND-Dark-Chocolate-Cherry-Cashew/dp/B087ZJLJC8/ref=sr_1_1?tag=thehighprotei-20,kind-protein-bar-dark-chocolate-cherry-cashew.jpg,,,,,,TRUE,,TRUE,,
built-bar-strawberry,Built Bar Strawberry,Built Bar,15.0,140.0,15.0,2.5,8.0,0.0,2.5,https://www.amazon.com/BUILT-Puffs-Protein-Strawberries-Cream/dp/B0D1KD323N/ref=sr_1_5?tag=thehighprotei-20,built-bar-strawberry.jpg,,,,,,TRUE,,,,
iqbar-blueberry-lemon,IQBAR Blueberry Lemon,IQBAR,12.0,180.0,10.0,12.0,2.0,7.0,2.1,https://www.amazon.com/Paleo-Bars-Lemon-Protein-Bar/dp/B0876K3ZS2/ref=sr_1_3?tag=thehighprotei-20,iqbar-blueberry-lemon.jpg,TRUE,,TRUE,TRUE,TRUE,,TRUE,,,
chomps-turkey-jerky-meat-stick,Chomps Turkey Jerky Meat Sticks,Chomps,12.0,80.0,0.0,3.5,0.0,0.0,2.5,https://www.amazon.com/Chomps-Original-Turkey-Sticks-10-Pack/dp/B0CCJXJQSR/ref=sr_1_1?tag=thehighprotei-20,chomps-turkey-jerky-meat-stick.jpg,TRUE,,TRUE,TRUE,TRUE,,,,,TRUE
epic-salmon-smoked-maple-strip,Epic Salmon Smoked Maple Strip,Epic Provisions,7.0,80.0,5.0,4.0,5.0,0.0,1.9,https://www.amazon.com/Epic-Snack-Strips-Smoked-Salmon/dp/B01MUD20GN/ref=sr_1_1?tag=thehighprotei-20,epic-salmon-smoked-maple-strip.jpg,,TRUE,TRUE,,,,,,,TRUE
twin-peaks-protein-puffs-bbq,Twin Peaks Protein Puffs BBQ,Twin Peaks Ingredients,21.0,120.0,2.0,3.0,2.0,0.0,26.0,https://www.amazon.com/Allergy-Friendly-Protein-Mesquite-Barbecue/dp/B07KMKFHX2/ref=sr_1_2?tag=thehighprotei-20,twin-peaks-protein-puffs-bbq.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,
quest-nutrition-protein-puffs-ranch,Quest Nutrition Protein Puffs Ranch,Quest Nutrition,19.0,140.0,4.0,5.0,1.0,1.0,2.3,https://www.amazon.com/Quest-Nutrition-Protein-Chips-Cream/dp/B07WNVFG56/ref=sr_1_4?tag=thehighprotei-20,quest-nutrition-protein-puffs-ranch.jpg,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,
magic-spoon-protein-cereal-frosted,Magic Spoon Protein Cereal Frosted,Magic Spoon,13.0,140.0,4.0,7.0,0.0,1.0,14.0,https://www.amazon.com/Magic-Spoon-Cereal-Frosted-1-Pack/dp/B09DMPMN4R/ref=sr_1_1?tag=thehighprotei-20,magic-spoon-protein-cereal-frosted.jpg,TRUE,,TRUE,TRUE,TRUE,,,,,
purely-elizabeth-protein-granola-almond-butter,Purely Elizabeth Protein Granola Almond Butter,Purely Elizabeth,6.0,170.0,8.0,13.0,4.0,2.0,6.8,https://www.amazon.com/Purely-Elizabeth-Granola-Vanilla-Collagen/dp/B07RB7KM5S/ref=sr_1_2?tag=thehighprotei-20,purely-elizabeth-protein-granola-almond-butter.jpg,,TRUE,,,,TRUE,,,,
lenny-larry-complete-cookie-protein-chocolate-chip,Lenny & Larry's Complete Cookie Chocolate Chip,Lenny & Larry's,8.0,220.0,35.0,5.0,11.0,5.0,1.8,http://amazon.com/Lenny-Larrys-Complete-Chocolate-Protein/dp/B004IJM4OY/ref=sr_1_1?tag=thehighprotei-20,lenny-larry-complete-cookie-protein-chocolate-chip.jpg,,,,,TRUE,,,TRUE,,
orgain-vegan-protein-bar-peanut-butter,Orgain Organic Vegan Protein Bars Peanut Butter Chocolate Chunk,Orgain,10.0,150.0,19.0,5.0,6.0,1.0,1.15,https://www.amazon.com/Orgain-Organic-Protein-Peanut-Chocolate/dp/B01HNTBGP8/ref=sr_1_5?tag=thehighprotei-20,orgain-vegan-protein-bar-peanut-butter.jpg,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,
one-bar-birthday-cake,ONE Protein Bar – Birthday Cake,ONE Brands,20,220,23,9,1,8,2.33,https://www.amazon.com/ONE-Protein-Birthday-Cake-Count/dp/B07CNGQ5BN?tag=thehighprotei-20,one-bar-birthday-cake.jpg,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
barebells-cookies-cream,Barebells Protein Bar – Cookies & Cream,Barebells,20,200,17,8,1,3,2.08,https://www.amazon.com/Barebells-Protein-Bars-Cookies-Cream/dp/B08KWGDMJW?tag=thehighprotei-20,barebells-cookies-cream.jpg,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
pure-protein-chocolate-deluxe,Pure Protein Bar – Chocolate Deluxe,Pure Protein,21,180,17,5,3,2,1.18,https://www.amazon.com/Pure-Protein-Healthy-Support-Chocolate/dp/B00MNXGSAI?tag=thehighprotei-20,pure-protein-chocolate-deluxe.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
built-bar-salted-caramel,Built Bar – Salted Caramel,Built Bar,17,130,18,2,4,6,2.08,https://www.amazon.com/Built-Bar-Pack-Protein-Energy/dp/B09M96KGNJ?tag=thehighprotei-20,built-bar-salted-caramel.jpg,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
think-high-protein-brownie-crunch,Think! High Protein Bar – Brownie Crunch,think!,20,230,24,9,0,1,1.5,https://www.amazon.com/Protein-Isolate-Nutrition-Artificial-Sweeteners/dp/B0B17P5N3D?tag=thehighprotei-20,think-high-protein-brownie-crunch.jpg,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
fitcrunch-chocolate-peanut-butter,FitCrunch Protein Bar – Chocolate PB,FitCrunch,16,190,14,8,3,2,2.0,https://www.amazon.com/FITCRUNCH-Protein-Gluten-Proteins-Crunch/dp/B0FG8BZ4RP?tag=thehighprotei-20,fitcrunch-chocolate-peanut-butter.jpg,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
wilde-chicken-chips-buffalo,Wilde Protein Chips – Buffalo,Wilde,10,170,6,8,1,1,2.49,https://www.amazon.com/WILDE-BRANDS-Chicken-Chips-Buffalo/dp/B0BFKCLNYQ?tag=thehighprotei-20,wilde-chicken-chips-buffalo.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
no-cow-protein-bar-chocolate-fudge,No Cow Protein Bar – Chocolate Fudge,No Cow,21,190,26,6,1,14,2.33,https://www.amazon.com/No-Cow-Protein-Chocolate-Brownie/dp/B01K5SBEJM?tag=thehighprotei-20,no-cow-protein-bar-chocolate-fudge.jpg,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
atkins-protein-meal-bar,Atkins Protein Meal Bar – Chocolate PB,Atkins,16,190,19,11,1,7,1.5,https://www.amazon.com/Atkins-Chocolate-Protein-Replacement-Friendly/dp/B0BZDWKDT1?tag=thehighprotei-20,atkins-protein-meal-bar.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
quest-protein-chips-chili-lime,Quest Protein Chips – Chili Lime,Quest,21,140,4,6,1,1,2.33,https://www.amazon.com/Quest-Nutrition-Tortilla-Style-Protein/dp/B07RWP9HW5?tag=thehighprotei-20,quest-protein-chips-chili-lime.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
fairlife-core-power-elite-42g,Fairlife Core Power Elite 42g,Fairlife,42,230,8,3.5,3,0,3.25,https://www.amazon.com/Core-Power-fairlife-Protein-Chocolate/dp/B01DDIRDZA?tag=thehighprotei-20,fairlife-core-power-elite-42g.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
fairlife-core-power-26g,Fairlife Core Power 26g,Fairlife,26,170,6,4.5,4,0,2.75,https://www.amazon.com/Core-Power-Protein-Shake-Chocolate/dp/B07LD2NV9X?tag=thehighprotei-20,fairlife-core-power-26g.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
premier-protein-chocolate,Premier Protein Shake – Chocolate,Premier Protein,30,160,4,3,1,1,1.83,https://www.amazon.com/Premier-Protein-High-Shake-Chocolate/dp/B008JGIZGS?tag=thehighprotei-20,premier-protein-chocolate.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
premier-protein-vanilla,Premier Protein Shake – Vanilla,Premier Protein,30,160,5,3,1,1,1.83,https://www.amazon.com/Premier-Protein-High-Shake-Vanilla/dp/B008JGIZNQ?tag=thehighprotei-20,premier-protein-vanilla.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
orgain-clean-protein-shake,Orgain Clean Protein Shake – Chocolate,Orgain,20,130,11,2,4,2,2.25,https://www.amazon.com/Orgain-Protein-Creamy-Chocolate-Non-GMO/dp/B01CI57V2O?tag=thehighprotei-20,orgain-clean-protein-shake.jpg,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
pure-protein-shake-frosty-chocolate,Pure Protein Shake – Frosty Chocolate,Pure Protein,30,140,4,2,1,1,2.0,https://www.amazon.com/Pure-Protein-Complete-Shakes-Chocolate/dp/B07ZZCM9SZ?tag=thehighprotei-20,pure-protein-shake-frosty-chocolate.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
muscle-milk-pro-series-40,Muscle Milk Pro Series 40,Muscle Milk,40,200,7,6,1,1,2.16,https://www.amazon.com/Muscle-Milk-Protein-Intense-Vanilla/dp/B00FLVZA3U?tag=thehighprotei-20,muscle-milk-pro-series-40.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ensure-max-protein-milk-chocolate,Ensure Max Protein – Milk Chocolate,Ensure,30,150,6,1.5,1,2,2.25,https://www.amazon.com/Ensure-Max-Protein-Nutrition-Chocolate/dp/B0791Y2LMB?tag=thehighprotei-20,ensure-max-protein-milk-chocolate.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
owyn-100plant-protein-shake,OWYN 100% Plant Protein Shake,OWYN,20,180,10,7,4,3,2.5,https://www.amazon.com/OWYN-Only-What-You-Need/dp/B08B7B3CF8?tag=thehighprotei-20,owyn-100plant-protein-shake.jpg,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
iconic-protein-shake-cacao,ICONIC Protein Shake – Café Mocha,ICONIC,20,140,3,2.5,0,4,2.66,https://www.amazon.com/Iconic-Protein-Drinks-Cacao-Greens/dp/B07QNZM51V?tag=thehighprotei-20,iconic-protein-shake-cacao.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
aufschnitt-grassfed-halal-jerky,Aufschnitt Grass-Fed Halal Beef Jerky,Aufschnitt,11,90,3,2.5,2,0,2.7,https://www.amazon.com/Aufschnitt-Grass-Beef-Jerky-Certification/dp/B00YT21XBA?tag=thehighprotei-20,aufschnitt-grassfed-halal-jerky.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
aufschnitt-halal-teriyaki-jerky,Aufschnitt Halal Teriyaki Beef Jerky,Aufschnitt,10,80,3,1.5,2,0,2.5,https://www.amazon.com/Aufschnitt-Healthy-Chicken-Certified-Teriyaki/dp/B08T9RSTNH?tag=thehighprotei-20,aufschnitt-halal-teriyaki-jerky.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
aufschnitt-halal-beef-bar,Aufschnitt Halal Beef Bar,Aufschnitt,8,70,5,2,4,0,2.1,https://www.amazon.com/Aufschnitt-Nitrites-Chocolate-Teriyaki-Cranberry/dp/B07F5K89XX?tag=thehighprotei-20,aufschnitt-halal-beef-bar.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
halal-grassfed-beef-stick,Halal Grass-Fed Original Beef Stick,Sharifa Halal,9,90,1,4,1,0,2.6,https://www.amazon.com/SHARIFA-HALAL-BEEF-STICKS-ORIGINAL/dp/B08L599QZZ?tag=thehighprotei-20,halal-grassfed-beef-stick.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
boxed-halal-Premium-bbq-beef-jerky,Boxed Halal BBQ Beef Jerky,Boxed Halal,9,100,10,2,9,0,3.3,https://www.amazon.com/Premium-Grass-Fed-Certified-Halal-Friendly/dp/B0C4VZ7CFX?tag=thehighprotei-20,boxed-halal-Premium-bbq-beef-jerky.jpg,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
boxed-halal-Premium-orignal-beef-jerky,Boxed Halal Original Beef Jerky,Boxed Halal,18,80,1,1,1,0,3.3,https://www.amazon.com/Grass-Fed-Original-Certified-Halal-Friendly/dp/B0C4WKYKVK?tag=thehighprotei-20,boxed-halal-Premium-orignal-beef-jerky.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
orgain-vegan-protein-bar-peanut-butter,Orgain Vegan Protein Bar – Peanut Butter Chocolate Chunk,Orgain,10,150,19,5,6,1,1.15,https://www.amazon.com/Orgain-Organic-Protein-Peanut-Chocolate/dp/B01HNTBGP8?tag=thehighprotei-20,orgain-vegan-protein-bar-peanut-butter.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
gomacro-peanut-butter-choc-chip,GoMacro Vegan Bar – Peanut Butter Chocolate Chip,GoMacro,11,260,37,10,9,2,2.49,https://www.amazon.com/GoMacro-MacroBar-Organic-Vegan-Protein/dp/B0858F5D3C?tag=thehighprotei-20,gomacro-peanut-butter-choc-chip.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
clif-builder-vegan-choc-peanut,Clif Builder’s Vegan Protein Bar – Chocolate Peanut Butter,Clif,20,280,29,11,17,4,1.83,https://www.amazon.com/CLIF-BUILDERS-Protein-Chocolate-Peanut/dp/B09QHBBGJT?tag=thehighprotei-20,clif-builder-vegan-choc-peanut.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
aloha-plant-based-bar,ALOHA Plant-Based Protein Bar – Chocolate Chip Cookie Dough,ALOHA,14,220,24,9,5,10,2.49,https://www.amazon.com/ALOHA-Organic-Protein-Chocolate-Non-GMO/dp/B07RZM418G?tag=thehighprotei-20,aloha-plant-based-bar.jpg,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
quest-chips-cheddar-sourcream,Quest Protein Chips – Cheddar & Sour Cream,Quest,19,140,4,5,1,1,2.49,https://www.amazon.com/Quest-Nutrition-Protein-Chips-Cheddar/dp/B07WVYCP16?tag=thehighprotei-20,quest-chips-cheddar-sourcream.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
epic-bison-cranberry-bar,EPIC Bison Cranberry Bar,EPIC,7,130,11,4,8,2,2.99,https://www.amazon.com/Epic-Bacon-Cranberry-Gluten-Ounces/dp/B0CKT7YJYQ?tag=thehighprotei-20,epic-bison-cranberry-bar.jpg,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
